service,region,plan_info
Spotify,US,Skip to content Spotify Premium plans Premium Individual 1 account - For one person. Premium Duo 2 accounts - For couples under one roof. Premium Fami
Spotify,US,"Ends soon: $0 for 3 months of Premium Individual Don't miss ad-free music listening, offline playback, and more. Cancel anytime. Offer ends in 8 days "
Spotify,US,Try 3 months for US$0 View all plans
Spotify,US,Try 3 months for US$0
Spotify,US,"US$0 for 3 months Premium Individual US$0 for 3 months US$5.49/month after 1 Premium account Cancel anytime Try 3 months for US$0 US$0 for 3 months, t"
Spotify,US,US$0 for 3 months Premium Individual US$0 for 3 months US$5.49/month after
Spotify,US,Premium Individual US$0 for 3 months US$5.49/month after
Spotify,US,"US$0 for 3 months, then US$5.49 per month after. Offer only available if you haven’t tried Premium before. Terms apply. Offer ends 31 March 2026."
Spotify,US,US$0 for 1 month Premium Student US$0 for 1 month US$2.99/month after
Spotify,US,Premium Student US$0 for 1 month US$2.99/month after
Spotify,US,Try 1 month for US$0
Spotify,US,"US$0 for 1 month, then US$2.99 per month after. Offer reserved for students enrolled in an eligible accredited institution of higher education. Not av"
Spotify,US,Premium Duo US$7.49 / month
Spotify,US,Premium Family US$9.49 / month
Spotify,US,"Questions? We’ve got answers. Find more answers on our Support site. How does the Spotify Premium trial work? If you’ve never had Premium before, you "
Apple TV+,US,"Apple TV and Peacock Save over 30% Get exclusive Apple Originals, Peacock’s live sports and must-see TV, and more for just
									$14"
Apple TV+,US,"2 Try 3 months free 2 New Subscriber 1 week free Get Apple TV for just
									$12"
Apple TV+,US,"2 (2) A monthly subscription is just
										$12"
Apple TV+,US,"Apple One plans start at
										$19"
Apple TV+,US,Learn more Apple Footer * (none) Plans start at $14
Apple TV+,US,$12
Apple TV+,US,Plan automatically renews at $5
Amazon Prime,US,"us Deliver to Lebanon All Select the department you want to search in All Departments Arts & Crafts Automotive Baby Beauty & Personal Care Books Boys' Fashion Computers Deals Digital Music Electronics Girls' Fashion Health & Household Home & Kitchen Industrial & Scientific Kindle Store Luggage Men's Fashion Movies & TV Music, CDs & Vinyl Pet Supplies Prime Video Software Sports & Outdoors Tools & Home Improvement Toys & Games Video Games Women's Fashion Search Amazon EN Hello, sign in Account & Lists Returns & Orders 0 Cart All Today's Deals Gift Cards Sell Registry Prime Video Customer Service Disability Customer Support Join Prime and elevate your Amazon experience Free delivery, award-winning TV, exclusive deals, and more Prime is only $14"
Amazon Prime,US,"Grubhub+ Free Grubhub+ which includes $0 delivery fees, lower service fees, and exclusive savings"
Amazon Prime,US,"After, Prime is just $14"
Amazon Prime,US,Prime Monthly $14
Amazon Prime,US,99 per month after trial Prime Annual $139 per year after trial Prime for Young Adults $7
Amazon Prime,US,49 per month after trial Prime Access $6
Amazon Prime,US,"After, Prime is just $139 per year"
Amazon Prime,US,"Then get Prime at half the price, just $14"
Amazon Prime,US,99 $7
Amazon Prime,US,Prime is just $14
Amazon Prime,US,99 $6
Spotify,UK,Skip to content Spotify Premium plans Premium Individual 1 account - For one person. Premium Duo 2 accounts - For couples under one roof. Premium Fami
Spotify,UK,"Ends soon: $0 for 3 months of Premium Individual Don't miss ad-free music listening, offline playback, and more. Cancel anytime. Offer ends in 8 days "
Spotify,UK,Try 3 months for US$0 View all plans
Spotify,UK,Try 3 months for US$0
Spotify,UK,"US$0 for 3 months Premium Individual US$0 for 3 months US$5.49/month after 1 Premium account Cancel anytime Try 3 months for US$0 US$0 for 3 months, t"
Spotify,UK,US$0 for 3 months Premium Individual US$0 for 3 months US$5.49/month after
Spotify,UK,Premium Individual US$0 for 3 months US$5.49/month after
Spotify,UK,"US$0 for 3 months, then US$5.49 per month after. Offer only available if you haven’t tried Premium before. Terms apply. Offer ends 31 March 2026."
Spotify,UK,US$0 for 1 month Premium Student US$0 for 1 month US$2.99/month after
Spotify,UK,Premium Student US$0 for 1 month US$2.99/month after
Spotify,UK,Try 1 month for US$0
Spotify,UK,"US$0 for 1 month, then US$2.99 per month after. Offer reserved for students enrolled in an eligible accredited institution of higher education. Not av"
Spotify,UK,Premium Duo US$7.49 / month
Spotify,UK,Premium Family US$9.49 / month
Spotify,UK,"Questions? We’ve got answers. Find more answers on our Support site. How does the Spotify Premium trial work? If you’ve never had Premium before, you "
Apple TV+,UK,"Apple TV and Peacock Save over 30% Get exclusive Apple Originals, Peacock’s live sports and must-see TV, and more for just
									$14"
Apple TV+,UK,"2 Try 3 months free 2 New Subscriber 1 week free Get Apple TV for just
									$12"
Apple TV+,UK,"2 (2) A monthly subscription is just
										$12"
Apple TV+,UK,"Apple One plans start at
										$19"
Apple TV+,UK,Learn more Apple Footer * (none) Plans start at $14
Apple TV+,UK,$12
